customer name,JobTitle,customer e-mail,country,gender,age,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits,credit card debt,net worth,car purchase amount
Martina Avila,GENERAL MANAGER-METROPOLITAN TRANSIT AUTHORITY,cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,Bulgaria,0,42,167411.18,0,400184.25,,567595.43,567595.43,11609.38091,238961.2505,35321.45877
Harlan Barnes,CAPTAIN III (POLICE DEPARTMENT),eu.dolor@diam.co.uk,Belize,0,41,155966.02,245131.88,137811.38,,538909.28,538909.28,9572.957136,530973.9078,45115.52566
Naomi Rodriquez,CAPTAIN III (POLICE DEPARTMENT),vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,Algeria,1,43,212739.13,106088.18,16452.6,,335279.91,335279.91,11160.35506,638467.1773,42925.70921
Jade Cunningham,WIRE ROPE CABLE MAINTENANCE MECHANIC,malesuada@dignissim.com,Cook Islands,1,58,77916,56120.71,198306.9,,332343.61,332343.61,14426.16485,548599.0524,67422.36313
Cedric Leach,"DEPUTY CHIEF OF DEPARTMENT,(FIRE DEPARTMENT)",felis.ullamcorper.viverra@egetmollislectus.net,Brazil,1,57,134401.6,9737,182234.59,,326373.19,326373.19,5358.712177,560304.0671,55915.46248
Carla Hester,ASSISTANT DEPUTY CHIEF II,mi@Aliquamerat.edu,Liberia,1,57,118602,8601,189082.74,,316285.74,316285.74,14179.47244,428485.3604,56611.99784
Griffin Rivera,"BATTALION CHIEF, (FIRE DEPARTMENT)",vehicula@at.co.uk,Syria,1,47,92492.01,89062.9,134426.14,,315981.05,315981.05,5958.460188,326373.1812,28925.70549
Orli Casey,DEPUTY DIRECTOR OF INVESTMENTS,nunc.est.mollis@Suspendissetristiqueneque.co.uk,Czech Republic,1,50,256576.96,0,51322.5,,307899.46,307899.46,10985.69656,629312.4041,47434.98265
Marny Obrien,"BATTALION CHIEF, (FIRE DEPARTMENT)",Phasellus@sedsemegestas.org,Armenia,0,47,176932.64,86362.68,40132.23,,303427.55,303427.55,3440.823799,630059.0274,48013.6141
Rhonda Chavez,"CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)",nec@nuncest.com,Somalia,1,43,285262,0,17115.73,,302377.73,302377.73,12884.07868,476643.3544,38189.50601
